record_id,origin,category,year,range_start,range_end,record_type,confidence,title_en,title_tr,region_en,region_tr,role_en,role_tr,shows_en,shows_tr,does_not_show_en,does_not_show_tr,source_en,source_tr,source_url,source_type
printing,evidence-strip,threshold,1234,751,1455,proxy,high,East Asian and European printing networks,Doğu Asya ve Avrupa baskı ağları,"China, Korea and Europe","Çin, Kore ve Avrupa",Copy fidelity and scale,Kopyalama doğruluğu ve ölçek,Enabled packets to be reproduced more often and more consistently.,Paketlerin daha çok ve tutarlı biçimde çoğaltılmasını sağladı.,"It cannot be reduced to a single inventor or a single civilisational line. This record is an indirect indicator because its claim concerns an effect — the scale and consistency of reproduction — and requires an inference step. The 1234 date also refers to the Sangjeong Gogeum Yemun, of which no copy survives; the event is known from a contemporary postscript by Yi Kyu-bo, preserved in his collected works. The oldest extant metal-type printed book is the Jikji of 1377.","Tek mucide veya tek uygarlık hattına indirgenemez. Bu kayıt dolaylı göstergedir çünkü iddiası bir etkiye ilişkindir — çoğaltmanın ölçek ve tutarlılığı — ve bir çıkarım adımı gerektirir. Ayrıca 1234 tarihi, hiçbir nüshası günümüze ulaşmayan Sangjeong Gogeum Yemun'a aittir; olay, Yi Kyu-bo'nun kendi külliyatında korunan çağdaş bir sonsözünden bilinir. Metal harfle basılmış ayakta kalan en eski kitap 1377 tarihli Jikji'dir.",UNESCO Courier · The master printers of Koryo,UNESCO Courier · Koryo matbaacıları,https://courier.unesco.org/en/articles/200-years-gutenberg-master-printers-koryo,official-or-standards
rongorongo,evidence-strip,loss,1500,1493,1887,direct,medium,The rongorongo script of Rapa Nui,Rapa Nui rongorongo yazısı,"Rapa Nui (Easter Island), Polynesia","Rapa Nui (Paskalya Adası), Polinezya",A sign system whose readers died out within a generation,Okuyucusu bir kuşakta tükenen işaret sistemi,The clearest example of a decoder vanishing on its own while the carrier remains intact.,Taşıyıcı sağlamken çözücünün tek başına yok olabileceğinin en net örneğidir.,"Radiocarbon dates the wood, not the carving — driftwood and reuse are likely. The pre-contact-invention claim rests on a single sample, which is why it remains fragile. Whether rongorongo is full writing, a mnemonic system, or a post-contact response to Spanish documents is still openly contested.","Radyokarbon ahşabı tarihler, oyma anını değil — sürüklenmiş odun ve yeniden kullanım olasıdır. Temas öncesi icat iddiası tek bir örneğe dayanır ve bu haliyle kırılgandır. Rongorongo'nun tam bir yazı mı, bellek desteği mi, yoksa İspanyol belgelerine tepki olarak doğmuş bir sistem mi olduğu hâlâ açıkça tartışılıyor.","Scientific Reports · Ferrara, Tassoni, Kromer et al., 2024","Scientific Reports · Ferrara, Tassoni, Kromer ve diğerleri, 2024",https://www.nature.com/articles/s41598-024-53063-7,journal-or-preprint
maya-codices,evidence-strip,loss,1562,1519,1697,direct,high,The destruction of the Maya codices,Maya kodekslerinin yok edilmesi,"Yucatán, Mesoamerica","Yucatán, Mezoamerika",A carrier erased within a single generation,Taşıyıcının bir kuşakta silinmesi,Shows a civilisation's astronomical and ritual corpus being lost by destroying the carrier while the decoder was still alive.,"Bir uygarlığın astronomi ve ritüel külliyatının, çözücü hâlâ yaşarken taşıyıcı yok edilerek kaybedilebileceğini gösterir.","The often-cited “27 books burned at Maní in July 1562” rests on Diego de Landa's own account, and the true volume is unknowable. The same Landa also recorded the glyph-and-syllable “alphabet” that Knorozov later used to crack Maya writing: the destroyer also supplied part of the key.","Sık alıntılanan “Temmuz 1562'de Maní'de 27 kitap yakıldı” rakamı Diego de Landa'nın kendi anlatısına dayanır ve gerçek hacim bilinemez. Üstelik aynı Landa, Knorozov'un Maya yazısını çözerken kullandığı işaret-hece “alfabesini” de kaydetmiştir: yok eden, anahtarın bir parçasını da bırakmıştır.","SLUB Dresden · The Dresden Maya Codex, Mscr.Dresd.R.310","SLUB Dresden · Dresden Maya Kodeksi, Mscr.Dresd.R.310",https://www.slub-dresden.de/en/explore/manuscripts/the-dresden-maya-codex,web
journal,evidence-strip,threshold,1665,1665,1832,proxy,high,The birth of the scientific journal,Bilimsel derginin doğuşu,"Initially Europe, later international","Başlangıçta Avrupa, sonra uluslararası","Method, evidence and criticism","Yöntem, kanıt ve eleştiri",Strengthened the regular circulation of method and debate alongside results.,Sonuçla birlikte yöntem ve tartışmanın düzenli dolaşımını güçlendirdi.,"It does not mean science began in 1665 — and it certainly does not mean peer review began in 1665. The Royal Society took editorial control and created a Committee of Papers only in 1752; independent referee reports date from the 1830s, and the term “peer review” appears in Science in 1965, settling into ordinary use only in the 1970s. In 1665 the Journal des sçavans (5 January) also preceded Philosophical Transactions (6 March) by two months; the priority question is contested.","Bilimin 1665'te başladığı anlamına gelmez — ve hakemliğin 1665'te başladığı anlamına kesinlikle gelmez. Royal Society yayın denetimini ve Makaleler Komitesi'ni ancak 1752'de kurdu; bağımsız hakem raporları 1830'lara uzanır; “peer review” terimi ise 1965'te Science'ta görülür ve ancak 1970'lerde yerleşir. 1665'te ayrıca Journal des sçavans (5 Ocak) Philosophical Transactions'tan (6 Mart) iki ay önce çıkmıştı; öncelik tartışmalıdır.","Historical Journal · Moxham & Fyfe, 2018","Historical Journal · Moxham & Fyfe, 2018",https://www.cambridge.org/core/journals/historical-journal/article/royal-society-and-the-prehistory-of-peer-review-16651965/93B903FD4D6561AA7224C62EE57B0C18,journal-or-preprint
wootz,evidence-strip,loss,1750,1600,1850,proxy,medium,Damascus (wootz) crucible steel,Şam çeliği (wootz) potası,"South India and Sri Lanka; the Near East","Güney Hindistan ve Sri Lanka; Yakın Doğu",A variable the craftsmen themselves could not see,Ustanın kendisinin de görmediği değişken,Shows a technique halting silently when it depends on an input its practitioners were never aware of.,"Bir tekniğin, onu uygulayanların farkında olmadığı bir girdiye bağlı olduğunda sessizce durabileceğini gösterir.","The ore-exhaustion / trace-element (V, Cr, Mo, Mn, Nb) account is a leading hypothesis, not settled fact. Modern metallurgists have reproduced wootz-like patterned steel, so the technique is not irrecoverable. And the “Damascus steel” sold today is pattern-welded steel — a different material entirely.","Cevher tükenmesi / eser element (V, Cr, Mo, Mn, Nb) açıklaması önde gelen bir hipotezdir, kesin değil. Modern metalurjistler wootz benzeri desenli çeliği yeniden üretmiştir, yani teknik geri alınamaz değildir. Bugün satılan “Şam çeliği” ise desen-kaynaklı çeliktir — tümüyle farklı bir malzeme.","JOM (TMS) · Verhoeven, Pendray & Dauksch, 1998","JOM (TMS) · Verhoeven, Pendray ve Dauksch, 1998",https://www.tms.org/pubs/journals/JOM/9809/Verhoeven-9809.html,web
literacy,evidence-strip,threshold,1820,1820,2024,proxy,medium,The spread of global literacy,Küresel okuryazarlığın yayılması,"Global; unevenly","Küresel; eşitsiz",Decoder access,Çözücü erişimi,Shows the share of the population able to decode written text rising.,Yazılı kodu çözebilen nüfus payının yükseldiğini gösterir.,"Literacy is not expertise, nor knowledge of method.","Okuryazarlık, uzmanlık veya yöntem bilgisi değildir.",Our World in Data · Literacy,Our World in Data · Okuryazarlık,https://ourworldindata.org/literacy,web
domesday,evidence-strip,digital,1986,1986,2011,direct,high,The BBC Domesday Project laserdiscs,BBC Domesday Projesi lazer diskleri,United Kingdom,Birleşik Krallık,The reading apparatus dying before the medium,Ortamdan önce ölen okuyucu aparat,Shows an archive can close when the reading apparatus dies rather than the medium. Recovery required the CAMiLEON project's emulation work and deposit of the material at The National Archives (PRO 30/100).,"Ortam değil, çözücü aparat öldüğünde de arşivin kapanabileceğini gösterir. Kurtarma, CAMiLEON projesinin emülasyon çalışmasını ve materyalin Ulusal Arşiv'e (PRO 30/100) yatırılmasını gerektirdi.","The “digital Domesday lasted 15 years, not 1,000” headline overstates it: the data never actually became unreadable, working players and emulators recovered it, and it was republished as Domesday Reloaded in 2011. But recovery was expensive, the interactivity was only partly preserved, and the rescued material has had access gaps of its own since.","“Dijital Domesday 1000 yıl değil 15 yıl dayandı” başlığı abartılıdır: veri hiçbir zaman gerçekten okunamaz hâle gelmedi, çalışan oynatıcılar ve emülatörler kurtardı, 2011'de Domesday Reloaded olarak yeniden yayımlandı. Buna karşılık kurtarma pahalıydı, etkileşim kısmen kayboldu ve kurtarılan materyalin erişiminde de sonradan boşluklar oluştu.",The National Archives (UK) · catalogue record PRO 30/100,The National Archives (UK) · katalog kaydı PRO 30/100,https://beta.nationalarchives.gov.uk/catalogue/id/C16160,museum-or-archive
web,evidence-strip,threshold,1993,1989,1993,proxy,high,The Web released for open use,Web'in açık kullanıma açılması,The global network,Küresel ağ,"Search, linking and copying","Arama, bağlantı ve kopyalama",Reduced the cost of distribution and of making connections enormously.,Dağıtım ve bağlantı kurma maliyetini çok büyük ölçüde düşürdü.,Volume is not the same as accuracy or quality of context.,Hacim ile doğruluk ve bağlam kalitesi aynı değildir.,CERN · A short history of the Web,CERN · Web'in kısa tarihi,https://home.cern/science/computing/birth-web/short-history-web,web
f1-engine,evidence-strip,loss,2013,2011,2013,direct,high,Waking the Saturn V F-1 engine,Saturn V F-1 motorunun uyandırılması,United States · Marshall Space Flight Center,ABD · Marshall Uzay Uçuş Merkezi,"The documents survive, the ability to run them does not","Belge duruyor, çalıştırma bilgisi durmuyor","Engineers had to physically tear the engine down, structured-light scan it, and hot-fire a restored gas generator for 30 seconds on 24 January 2013 — because the archived drawings alone were not a runnable decoder.","Mühendisler motoru fiziksel olarak sökmek, yapılandırılmış ışıkla taramak ve restore edilmiş bir gaz jeneratörünü 24 Ocak 2013'te 30 saniye ateşlemek zorunda kaldı — çünkü arşivlenmiş çizimler tek başına çalıştırılabilir bir çözücü değildi.",This is not a case of “NASA lost the blueprints”: the original documentation was found and used. What was missing was not the record but the capacity to re-execute it.,"Bu vaka “NASA planları kaybetti” demek değildir; orijinal dokümantasyon bulundu ve kullanıldı. Eksik olan kayıt değil, yeniden-yürütme kapasitesiydi.","NASA NTRS · Erin M. Betts, “Waking a Giant”, 2013","NASA NTRS · Erin M. Betts, “Waking a Giant”, 2013",https://ntrs.nasa.gov/citations/20140011656,official-or-standards
cerf,evidence-strip,digital,2015,2015,2015,direct,high,Vint Cerf's “digital vellum” warning,Vint Cerf'in “dijital tirşe” uyarısı,"United States · AAAS Annual Meeting, San Jose","ABD · AAAS Yıllık Toplantısı, San Jose",A proposal to carry meaning along with the bits,Bitlerle birlikte anlamı taşıma önerisi,"One of the architects of TCP/IP argued in a talk at the 2015 AAAS Annual Meeting in San Jose on 13 February that bit-level storage is insufficient, that preserving digital material for centuries requires carrying the semantics with the bits — an explicitly Rosetta-Stone-shaped proposal he called “Digital Vellum”.","TCP/IP'nin mimarlarından biri, 13 Şubat 2015'te San Jose'deki AAAS Yıllık Toplantısı'nda verdiği bir konuşmada bit düzeyinde depolamanın yetersiz olduğunu; dijital materyali yüzyıllarca korumanın anlamı bitlerle birlikte taşımayı gerektirdiğini savundu ve buna açıkça Rosetta Taşı biçiminde bir öneri olan “Dijital Tirşe” adını verdi.","This is an expert forecast and a design proposal, not evidence that a digital dark age has occurred. Institutional archiving and emulation have improved markedly since 2015; “digital dark age” is a rhetorical frame, not a measured quantity.","Bu bir uzman öngörüsü ve tasarım önerisidir; dijital karanlık çağın gerçekleştiğinin kanıtı değildir. 2015'ten bu yana kurumsal arşivleme ve emülasyon belirgin biçimde gelişti; “dijital karanlık çağ” ölçülmüş bir büyüklük değil, retorik bir çerçevedir.","AAAS 2015 Annual Meeting · V. G. Cerf, “Digital Vellum”","AAAS 2015 Yıllık Toplantısı · V. G. Cerf, “Digital Vellum”",https://aaas.confex.com/aaas/2015/webprogram/Paper14064.html,web
link-rot,evidence-strip,digital,2024,2013,2024,direct,high,Link rot measured at web scale,Bağlantı çürümesinin web ölçeğinde ölçülmesi,Global · the World Wide Web,Küresel · World Wide Web,The archive closing when maintenance stops,Bakım durunca arşivin kapanması,"Pew's crawl-based study found 38% of webpages that existed in 2013 were inaccessible by October 2023 (8% for pages from 2023, 25% across the whole 2013-2023 span). 23% of news pages and 21% of government pages carry at least one broken link, and 54% of English Wikipedia articles have a dead reference link.","Pew'in tarama temelli çalışması, 2013'te var olan sayfaların %38'inin Ekim 2023'te erişilemez olduğunu buldu (2023 sayfaları için %8, 2013-2023 aralığının tamamı için %25). Haber sayfalarının %23'ü ve devlet sayfalarının %21'i en az bir kırık bağlantı taşıyor; İngilizce Vikipedi maddelerinin %54'ünde ölü bir kaynak bağlantısı var.","These are availability measurements, not content-loss measurements — some “gone” pages survive in web archives, though Pew did not measure that. The sample is drawn from Common Crawl and is not a census of the web, and the study cannot say whether the vanished material had scholarly value.","Bunlar erişilebilirlik ölçümüdür, içerik kaybı ölçümü değil — “gitmiş” sayfaların bir kısmı web arşivlerinde durur; Pew bunu ölçmemiştir. Örneklem Common Crawl'dan alınmıştır, webin sayımı değildir ve kaybolan materyalin bilimsel değeri olup olmadığı ölçülmemiştir.","Pew Research Center · Chapekis, Bestvater, Remy & Rivero, 2024","Pew Research Center · Chapekis, Bestvater, Remy ve Rivero, 2024",https://www.pewresearch.org/data-labs/2024/05/17/when-online-content-disappears/,web
model-collapse,evidence-strip,digital,2024,2023,2024,direct,high,Model collapse from recursively generated data,Özyinelemeli veriyle model çöküşü,United Kingdom and Canada,Birleşik Krallık ve Kanada,The context term collapsing at machine scale,Bağlam teriminin makine ölçeğinde çöküşü,"In a language model (a fine-tune of the 125-million-parameter OPT-125m on WikiText-2), in variational autoencoders and in Gaussian mixture models, training successive generations on the previous generation's output produced “model collapse”: the tails of the original distribution disappeared first, then the model converged on a low-variance caricature. The authors conclude that indiscriminate use of model-generated content causes “irreversible defects”.","Bir dil modeli (125 milyon parametreli OPT-125m'in WikiText-2 üzerinde ince ayarı), varyasyonel otokodlayıcılar ve Gauss karışım modellerinde, ardışık kuşakları bir öncekinin çıktısıyla eğitmek “model çöküşü” üretti: önce özgün dağılımın kuyrukları kayboldu, sonra model düşük varyanslı bir karikatüre yakınsadı. Yazarlar, model üretimi içeriğin ayrım gözetmeden kullanılmasının “geri döndürülemez kusurlara” yol açtığını yazıyor.","The headline result comes from a regime where each generation's training data is largely replaced by synthetic output. Follow-up work (Gerstgrasser et al., 2024) shows that accumulating real data alongside synthetic data avoids collapse — so “the internet will inevitably poison AI” is not what this paper establishes.","Başlıktaki sonuç, her kuşağın eğitim verisinin büyük ölçüde sentetik çıktıyla değiştirildiği bir rejimden gelir. Sonraki çalışmalar (Gerstgrasser ve diğerleri, 2024) gerçek veriyi sentetiğin yanında biriktirmenin çöküşü önlediğini gösteriyor; yani “internet kaçınılmaz olarak yapay zekâyı zehirleyecek” bu makalenin kurduğu şey değildir.","Nature · Shumailov, Shumaylov, Zhao, Papernot, Anderson & Gal, 2024","Nature · Shumailov, Shumaylov, Zhao, Papernot, Anderson ve Gal, 2024",https://www.nature.com/articles/s41586-024-07566-y,journal-or-preprint
internet,evidence-strip,threshold,2025,2025,2025,direct,high,Internet access and present inequality,İnternet erişimi ve güncel eşitsizlik,Global,Küresel,Access and the spread of decoders,Erişim ve çözücü yaygınlığı,Shows the broad access base of roughly 6 billion people online.,Yaklaşık 6 milyar kişinin çevrimiçi olduğu geniş erişim tabanını gösterir.,"Quality of access, and the capacity to evaluate sources, are not evenly distributed.",Erişim kalitesi ve kaynak değerlendirme kapasitesi eşit değildir.,ITU · Facts and Figures 2025,ITU · Facts and Figures 2025,https://www.itu.int/itu-d/reports/statistics/2025/10/15/ff25-internet-use/,web
iznik,chain-map,loss,1648,1480,1700,proxy,medium,Iznik ceramics,İznik çinisi,"Iznik, Bursa province — northwest Anatolia","İznik, Bursa — Kuzeybatı Anadolu",The closest near-contemporary numerical witness dating the collapse of a craft chain.,"Bir zanaat zincirinin çöküşünü tarihleyen, döneme en yakın sayısal tanıklık.",A production chain can collapse at workshop-count scale within fifty years while its output is still admired.,"Bir üretim zinciri, ürünü hâlâ hayranlık uyandırırken elli yıl içinde atölye sayısı ölçeğinde çökebilir.","Evliya Çelebi's figures carry the exaggeration typical of travel narrative, and neither the three hundred nor the nine is confirmed by an independent record.",Evliya Çelebi'nin sayıları gezi anlatısına özgü abartıya açıktır ve ne üç yüz ne de dokuz rakamı bağımsız bir kayıtla doğrulanmıştır.,"Ashmolean Museum, Islamic Ceramics — Iznik: C17th Decline","Ashmolean Museum, Islamic Ceramics — İznik: 17. yüzyıl gerilemesi",https://islamicceramics.ashmolean.org/Iznik/c17th.htm,web
hat,chain-map,threshold,1975,1485,2025,direct,high,Ottoman calligraphy and the ijāza,Hat sanatı ve icâzet,Istanbul,İstanbul,A dated document proving the transmission chain was still actually working after the institutional break.,Kurumsal kopuşun ardından aktarım zincirinin fiilen işlediğini kanıtlayan tarihli belge.,A named credential chain can still carry knowledge half a century after the writing system that produced it left daily use.,"Adlandırılmış bir yetki belgesi zinciri, onu doğuran yazı sistemi gündelik kullanımdan çıktıktan yarım yüzyıl sonra bile bilgiyi taşıyabilir.","A single icâzetnâme measures nothing about the level of skill transmitted; it records only the master's approval and the lineage.","Tek bir icâzetnâme aktarılan becerinin düzeyini ölçmez; yalnızca ustanın onayını ve soyu kaydeder.",Türkiye'nin Ustaları — the Hasan Çelebi file,Türkiye'nin Ustaları — Hattat Hasan Çelebi dosyası,https://www.turkiyeninustalari.org/tr/ustalar/hat-sanati/hasan-celebi,web
ebru,chain-map,threshold,1608,1540,2014,direct,medium,Ebru — Turkish marbling,Ebru,Istanbul and Üsküdar,İstanbul ve Üsküdar,The single early written record in four hundred years of a craft — a measure of how thin the packet link can get.,"Bir zanaatın dört yüz yıllık tarihindeki tek erken yazılı kaydı; paket halkasının ne kadar ince olabileceğinin ölçüsü.",A technique whose written record shrinks to a single treatise was nonetheless carried four hundred years by an unbroken master-apprentice chain.,"Yazılı kaydı tek bir risaleye inen bir teknik, kesintisiz bir usta-çırak zinciriyle dört yüzyıl taşınabilmiştir.","The 1608 date rests on attribution from content rather than a direct colophon, and the date of the earliest surviving ebru varies between 1447 and 1554 across sources.","Risalenin 1608 tarihi doğrudan bir ferağ kaydından değil içeriğe dayanan atıftan gelir, ayrıca en eski ebru örneğinin tarihi kaynaklarda 1447 ile 1554 arasında değişir.","Hicabi Gülgen, Uludağ University Faculty of Theology Journal 25/1 (2016)","Hicabi Gülgen, Uludağ Ü. İlahiyat Fakültesi Dergisi 25/1 (2016)",https://isamveri.org/pdfdrg/D00193/2016_1/2016_1_GULGENH2.pdf,web
sinan,chain-map,loss,1557,1550,1559,direct,high,The Süleymaniye and Sinan's structural knowledge,Süleymaniye ve Sinan'ın yapı bilgisi,Istanbul — the third hill above the Golden Horn,İstanbul — Haliç'e bakan üçüncü tepe,The only record — full-scale and still standing — of a structural knowledge whose method was never written.,Yöntemi hiç yazılmamış bir yapı bilgisinin tam ölçekli ve hâlâ ayakta duran tek kaydı.,A working structural technology can be transmitted for five centuries in the form of a building while the reasoning that produced it goes entirely unrecorded.,"Çalışan bir yapı teknolojisi, onu üreten akıl yürütme hiç kaydedilmeden beş yüzyıl boyunca bina biçiminde aktarılabilir.",The building's survival does not prove the seismic superiority of Sinan's method: the same 1766 earthquake collapsed part of this dome and brought down Sinan's Edirnekapı Mihrimah dome completely.,"Binanın ayakta kalması Sinan'ın yönteminin sismik üstünlüğünü kanıtlamaz: aynı 1766 depremi bu kubbenin bir bölümünü çökertmiş, Sinan'ın Edirnekapı Mihrimah kubbesini ise tamamen yıkmıştır.","The Süleymaniye foundation inscription and the construction account books (ed. Ö. L. Barkan, 1550–1557)","Süleymaniye Camii kitâbesi ve inşaat muhasebe defterleri (Ö. L. Barkan neşri, 1550–1557)",https://en.wikipedia.org/wiki/S%C3%BCleymaniye_Mosque,encyclopedia
